Coral,n_fragments_deployed,n_predated,pct_predated,mean_max_mortality,se_max_mortality,pct_died_100,pct_censored_30,mean_day_to_endpoint
Porites porites,15,15,100,50.66666666666667,6.150235509750568,6.666666666666667,80,37.333333333333336
Porites astreoides,44,42,95.5,49.523809523809526,4.943964526994401,19.047619047619047,61.904761904761905,19.384615384615383
Pseudodiploria strigosa,45,44,97.8,43.22727272727273,5.767506087166329,25,40.909090909090914,35.77777777777778
Pseudodiploria clivosa,46,44,95.7,36.72727272727273,4.715742565642882,13.636363636363635,45.45454545454545,22.5
Orbicella faveolata,45,40,88.9,21.8,3.282861478524412,2.5,17.5,19.142857142857142
Diploria labyrinthiformis,30,17,56.7,17.176470588235293,5.874443211486744,5.88235294117647,11.76470588235294,24.5
Montastraea cavernosa,45,39,86.7,10.923076923076923,1.1809238448666577,0,2.564102564102564,14
Acropora cervicornis,45,0,0,0,0,0,0,NA
Acropora palmata,45,0,0,0,0,0,0,NA
