Fish,Coral,mean_alpha,n_replicates,p_value,significant,Fish_common
Sparisoma viride,Orbicella faveolata,0.7055555555555556,4,0.045607982429000986,TRUE,Stoplight parrotfish
Sparisoma viride,Pseudodiploria clivosa,0.13333333333333333,4,0.8031515410351966,FALSE,Stoplight parrotfish
Sparisoma viride,Diploria labyrinthiformis,0.1,4,0.9185449017025415,FALSE,Stoplight parrotfish
Sparisoma viride,Montastraea cavernosa,0.03333333333333333,4,0.10183797037740717,FALSE,Stoplight parrotfish
Sparisoma viride,Pseudodiploria strigosa,0.02777777777777778,4,0.05766888562243733,FALSE,Stoplight parrotfish
Sparisoma aurofrenatum,Pseudodiploria clivosa,0.1980751362624509,15,0.24580096381195576,FALSE,Redband parrotfish
Sparisoma aurofrenatum,Orbicella faveolata,0.1975928443875094,15,0.2711919087480062,FALSE,Redband parrotfish
Sparisoma aurofrenatum,Diploria labyrinthiformis,0.18775129536115562,15,0.3364750750956298,FALSE,Redband parrotfish
Sparisoma aurofrenatum,Porites astreoides,0.14502193362742616,15,0.6394791493241314,FALSE,Redband parrotfish
Sparisoma aurofrenatum,Montastraea cavernosa,0.09531467248784746,15,0.7350465416488807,FALSE,Redband parrotfish
Sparisoma aurofrenatum,Pseudodiploria strigosa,0.09081802637336117,15,0.4779890045339382,FALSE,Redband parrotfish
Sparisoma aurofrenatum,Porites porites,0.05425584573380243,15,0.04602757490661709,TRUE,Redband parrotfish
Sparisoma aurofrenatum,Acropora palmata,0.031170245766446822,15,1.533209047111758e-4,TRUE,Redband parrotfish
Chaetodon capistratus,Pseudodiploria clivosa,0.46135703335543543,15,9.175263890747721e-4,TRUE,Foureye butterflyfish
Chaetodon capistratus,Pseudodiploria strigosa,0.1616170450276113,15,0.3862868082620242,FALSE,Foureye butterflyfish
Chaetodon capistratus,Montastraea cavernosa,0.13116812837875455,15,0.74626009875513,FALSE,Foureye butterflyfish
Chaetodon capistratus,Diploria labyrinthiformis,0.10811735220403952,15,0.9665797632846391,FALSE,Foureye butterflyfish
Chaetodon capistratus,Porites astreoides,0.08785714285714287,15,0.7309579653908255,FALSE,Foureye butterflyfish
Chaetodon capistratus,Acropora palmata,0.032017543859649125,15,8.594076379088673e-4,TRUE,Foureye butterflyfish
Chaetodon capistratus,Porites porites,0.012512218963831867,15,1.511085104401615e-8,TRUE,Foureye butterflyfish
Chaetodon capistratus,Orbicella faveolata,0.005353535353535354,15,1.0613153809053456e-13,TRUE,Foureye butterflyfish
